,Unnamed: 0,alias,id,market,name,points,reference,remaining_timeouts,team,used_timeouts,index,avg_gain,fumbles,lost_fumbles,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,total_yards,turnovers
0,0,SD,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego,Chargers,38,2575,1,home,2,1,7.1,0.0,0.0,3.0,43.0,59.0,30:54,2575.0,18.0,35.0,0.0,419.0,0.0
1,1,STL,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis,Rams,24,2578,0,away,3,2,6.4,3.0,1.0,4.0,20.0,64.0,29:06,2578.0,0.0,21.0,0.0,412.0,1.0
