,Unnamed: 0,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts,index,avg_gain,fumbles,lost_fumbles,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,0,KC,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Kansas City,Chiefs,41,2456,2,sr:competitor:4422,home,1,1,6.2,2.0,2.0,5.0,70.0,72.0,33:11,2456.0,18.0,26.0,0.0,sr:competitor:4422,443.0,2.0
1,1,CLE,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Cleveland,Browns,20,2448,0,sr:competitor:4417,away,3,2,3.9,2.0,1.0,4.0,38.0,51.0,26:49,2448.0,0.0,21.0,0.0,sr:competitor:4417,199.0,2.0
