,Unnamed: 0,alias,id,market,name,points,reference,remaining_timeouts,team,used_timeouts,index,avg_gain,fumbles,lost_fumbles,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,total_yards,turnovers
0,0,STL,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis,Rams,57,154,2,home,1,1,9.9,0.0,0.0,4.0,36.0,62.0,30:25,154.0,64.0,26.0,0.0,614.0,0.0
1,1,SD,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego,Chargers,31,151,2,away,1,2,6.6,1.0,1.0,3.0,15.0,58.0,29:35,151.0,0.0,15.0,0.0,381.0,2.0
