,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,CLE,5.5,0,d5a2eb42-8065-4174-ab79-0a6fa820e35e,0,Cleveland,Browns,18,182,63,30:42,5110,18,20,0,sr:competitor:4417,346,3
2,TEN,6.1,0,d26a1ca5-722d-4274-8f97-c92e49c96315,0,Tennessee,Titans,6,54,56,29:18,5089,66,28,1,sr:competitor:367364,339,0
