,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,GB,a20471b4-a8d9-40c7-95ad-90cc30e46932,Green Bay,Packers,24,2526,0,sr:competitor:4420,home,3
1,CLE,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Cleveland,Browns,26,2522,0,sr:competitor:4417,away,3
