,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,TB,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Tampa Bay,Buccaneers,20,1115,2,sr:competitor:4388,home,0
1,NO,0d855753-ea21-4953-89f9-0e20aff9eb73,New Orleans,Saints,26,1105,2,sr:competitor:4425,away,0
