,alias,id,market,name,points,reference,remaining_timeouts,team,used_timeouts
0,STL,39f349de-6463-4803-ad70-f1e0f144f5ed,St. Louis,Rams,28,1114,0,home,3
1,SD,9dbb9060-ba0f-4920-829e-16d4d9246b5d,San Diego,Chargers,24,1111,0,away,3
