,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,JAC,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jacksonville,Jaguars,16,140,0,sr:competitor:4386,home,3
1,WAS,22052ff7-c065-42ee-bc8f-c4691c50e624,Washington,Redskins,35,157,1,sr:competitor:4432,away,2
