,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,MIA,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Miami,Dolphins,14,2630,3,sr:competitor:4287,home,0
1,SF,f0e724b0-4cbf-495a-be47-013907608da9,San Francisco,49ers,9,2640,0,sr:competitor:4389,away,3
