,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,CLE,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Cleveland,Browns,44,2448,2,sr:competitor:4417,home,1
1,ARI,de760528-1dc0-416a-a978-b510d20692ff,Arizona,Cardinals,6,2441,2,sr:competitor:4412,away,1
