,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,CAR,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Carolina,Panthers,20,2445,2,sr:competitor:4415,home,1
1,WAS,22052ff7-c065-42ee-bc8f-c4691c50e624,Washington,Redskins,17,2473,2,sr:competitor:4432,away,1
