,alias,id,market,name,points,reference,remaining_timeouts,sr_id,team,used_timeouts
0,ATL,e6aa13a4-0055-48a9-bc41-be28dc106929,Atlanta,Falcons,6,2476,0,sr:competitor:4393,home,3
1,ARI,de760528-1dc0-416a-a978-b510d20692ff,Arizona,Cardinals,3,2475,0,sr:competitor:4412,away,3
