,attendance,entry_mode,id,scheduled,status,utc_offset
92,65808,INGEST,87586605-5fd0-4d00-9cb2-5fe4b486f0b3,2006-10-22T17:02:44+00:00,closed,-5
93,72180,INGEST,97b827d3-2e5c-4745-9392-551b8f51cf7f,2006-10-22T17:02:36+00:00,closed,-5
94,65964,INGEST,9f69a163-7ac5-4350-bf7a-4b635b53c920,2006-10-22T17:03:06+00:00,closed,-5
95,73548,INGEST,afba189c-7007-4a42-88f4-1ae09489400a,2006-10-22T17:02:54+00:00,closed,-5
96,77752,INGEST,d2a6de7e-effe-45ce-a624-acb8cace33ab,2006-10-22T17:02:54+00:00,closed,-6
97,76953,INGEST,d69bb3e2-5873-4641-8dfa-9ad8cd12edff,2006-10-22T17:03:26+00:00,closed,-5
98,57274,INGEST,dc60f6b0-c485-45e1-b623-e2b25c5bafc5,2006-10-22T20:15:27+00:00,closed,-5
99,68118,INGEST,f152927d-d31f-46d5-8c8a-d14874d886ca,2006-10-22T20:15:38+00:00,closed,-8
100,65978,INGEST,228232a1-6ca8-483e-8ab6-5fc03e92df1c,2006-10-29T18:02:27+00:00,closed,-5
101,77645,INGEST,2705c64f-57d1-4fb7-ad38-5233537182f2,2006-10-29T18:03:08+00:00,closed,-6
102,66598,INGEST,2d6818e8-a0c7-47b0-a739-0765cfa1a867,2006-10-29T18:05:28+00:00,closed,-8
103,69143,INGEST,4874e337-254c-4370-9714-d65da43e207d,2006-10-29T18:02:53+00:00,closed,-6
104,70809,INGEST,5b1730c2-12a5-4389-9099-0b2949656f53,2006-10-29T18:02:53+00:00,closed,-6
105,76767,INGEST,6a84fa21-5907-414e-9f84-b9440a782360,2006-10-29T21:15:50+00:00,closed,-7
106,62200,INGEST,7b908eeb-23d7-49d4-a285-75b0aea9f98c,2006-10-29T18:03:00+00:00,closed,-6
107,69152,INGEST,8515a8a6-1145-4ac0-bc43-bce6ff056543,2006-10-29T18:04:37+00:00,closed,-6
108,78647,INGEST,8b8f2efa-83c6-499d-bf66-bb6c23d0a590,2006-10-29T18:02:24+00:00,closed,-5
109,62385,INGEST,ab022c75-4463-4418-8838-96a19f70790c,2006-10-29T21:15:37+00:00,closed,-8
110,72507,INGEST,bd8dae26-ee3d-4c19-8871-7b6a6562d186,2006-10-29T21:16:16+00:00,closed,-5
111,73682,INGEST,d0aa53a0-b4ef-489f-8fb0-3a61cdcbd93e,2006-10-30T01:21:48+00:00,closed,-5
112,63819,INGEST,d78112a6-4f8e-4a60-ac08-32c0e4d094c9,2006-10-31T01:40:26+00:00,closed,-6
113,69249,INGEST,ff5af8e5-ad6d-4600-bc47-b2d9df403f11,2006-10-29T18:02:38+00:00,closed,-5
114,67816,INGEST,1677b768-2c4e-4d54-93ab-46a1217c46ff,2006-11-07T01:40:25+00:00,closed,-8
115,60987,INGEST,1bf84dab-69ae-40c1-b770-8a925ee6f36c,2006-11-05T18:03:00+00:00,closed,-5
116,66191,INGEST,1eb00f39-1b18-45ae-9bb6-f087d5eef169,2006-11-05T18:03:44+00:00,closed,-6
117,64661,INGEST,418f5d79-dc55-4ebb-a452-74239a39d4cb,2006-11-05T21:16:00+00:00,closed,-5
118,68756,INGEST,64fd6fb1-80f5-429d-b88b-da013ae32421,2006-11-06T01:20:55+00:00,closed,-5
119,65558,INGEST,ac631cb4-9d05-4356-9a20-f5d9097014a8,2006-11-05T21:15:26+00:00,closed,-8
120,78485,INGEST,d033e638-8cd2-45e6-8961-e5d04f39c82a,2006-11-05T18:02:55+00:00,closed,-5
121,62206,INGEST,d74e2c7e-2a67-454e-bc50-57dcfcc42b73,2006-11-05T18:02:54+00:00,closed,-6
122,72205,INGEST,d7f6ea33-dd73-40a6-9a30-71c2c9a9c881,2006-11-05T18:02:46+00:00,closed,-5
123,70792,INGEST,e36ed09a-3c21-42dc-8c78-6a56636e352f,2006-11-05T18:02:47+00:00,closed,-5
124,68088,INGEST,f64bb61b-edf7-47b7-aaff-a2700fe7b382,2006-11-05T21:05:57+00:00,closed,-8
125,65561,INGEST,f810c512-dfb4-4212-9c7c-b40b45a00f7e,2006-11-05T18:02:53+00:00,closed,-5
126,66524,INGEST,fa0f673b-cd67-4263-b800-e8fc1d6ff8da,2006-11-05T18:02:59+00:00,closed,-5
127,90250,INGEST,fa5a6cae-b6de-4df9-9129-145571d7f222,2006-11-05T18:02:31+00:00,closed,-5
128,60707,INGEST,225481b5-9ccd-4a1f-b4b3-2eda2f3292aa,2006-11-12T18:03:21+00:00,closed,-5
129,62094,INGEST,25830820-ac99-43e3-bd25-4fcd604ab049,2006-11-12T21:05:48+00:00,closed,-8
