,attendance,entry_mode,id,scheduled,status,utc_offset,weather
0,78387,INGEST,05b9e9b5-2fc6-4ac4-ae77-87b8e709fc26,2005-09-11T20:18:49+00:00,closed,-4,
1,68756,INGEST,2a2ae643-3724-484c-89e5-a0922bfc6978,2005-09-09T01:07:44+00:00,closed,-4,
2,78014,INGEST,2b993da7-919b-4052-a7a5-081a6d78ac72,2005-09-11T16:06:40+00:00,closed,-5,
3,65204,INGEST,4e82b38a-23fd-44ce-85f0-7dd416fb0734,2005-09-11T17:08:30+00:00,closed,-4,
4,62931,INGEST,77d72919-9a24-471c-bb3b-e1d40bf2d4db,2005-09-11T17:06:25+00:00,closed,-4,
5,63939,INGEST,78a428b4-43d8-4ebe-b871-c417302b16a2,2005-09-11T17:06:19+00:00,closed,-5,
6,73013,INGEST,7a9ba06e-08cb-4123-ac5e-4bbd273d119f,2005-09-11T17:06:49+00:00,closed,-4,
7,61877,INGEST,7a9cb73d-171a-4d3b-8f5d-d40084f00603,2005-09-11T20:19:08+00:00,closed,-4,
8,90138,INGEST,87c218b5-7a62-4f90-873f-06a62e7ef8d7,2005-09-11T17:06:54+00:00,closed,-4,
9,72920,INGEST,8eb03a45-33d9-4886-97c7-ef630bab2823,2005-09-11T17:07:16+00:00,closed,-4,
10,72324,INGEST,a4b5154f-906e-49b1-b4b8-ca8d20461fed,2005-09-11T17:07:00+00:00,closed,-4,
11,70806,INGEST,a8c885db-4c2c-499a-9a01-fd2fbd5b9c6d,2005-09-13T01:10:13+00:00,closed,-4,
12,71781,INGEST,b129e2cb-767b-43e0-b566-cebb140c6664,2005-09-11T17:07:12+00:00,closed,-4,
13,70501,INGEST,bb79e439-a07c-423e-9d99-346b546a858d,2005-09-12T00:39:24+00:00,closed,-4,
14,67679,INGEST,dab1e921-dbd8-43f0-a12e-158449e1c54f,2005-09-11T20:19:00+00:00,closed,-7,
15,67918,INGEST,e20df774-f4c2-4ab2-8928-6a38255470ac,2005-09-11T20:18:54+00:00,closed,-7,
16,70400,INGEST,0ab64b64-68c7-492c-a771-3d3498b7f57d,2005-09-18T20:15:44+00:00,closed,-5,
17,62273,INGEST,12193e90-7ced-41fa-b195-3b19b500e501,2005-09-19T00:37:50+00:00,closed,-7,
18,70742,INGEST,2d37879e-619d-4bf0-84c2-561cfd0ce96b,2005-09-18T17:02:50+00:00,closed,-5,
19,62019,INGEST,541e96b7-dc98-4bf3-92c1-0801594d273a,2005-09-18T17:02:47+00:00,closed,-5,
20,69149,INGEST,57fd9fb0-8a87-4bf0-bb98-99f1e934d549,2005-09-18T17:03:19+00:00,closed,-5,
21,65763,INGEST,583ea0d1-33fc-4337-80b9-aab38c8eb7a9,2005-09-18T17:03:07+00:00,closed,-4,
22,64777,INGEST,6af4cc27-b7db-40df-9f36-8844fb6bf106,2005-09-18T17:02:44+00:00,closed,-4,
23,68031,INGEST,778ecaa8-91de-4572-8ec7-0e9ee4d8c2a7,2005-09-19T23:36:28+00:00,closed,-4,
24,73528,INGEST,968f13e6-1177-409f-bc77-7de14ec7ffe3,2005-09-18T17:04:10+00:00,closed,-4,
25,67727,INGEST,9dda697d-91a4-4aa4-9333-b4b0e510bfe5,2005-09-18T17:03:33+00:00,closed,-4,
26,75310,INGEST,9f6509db-a236-44c9-9f8f-9a35a7a967a3,2005-09-18T20:15:56+00:00,closed,-6,
27,56460,INGEST,bec6793d-d2f7-4c85-b65f-9c1bd34f7221,2005-09-18T17:02:56+00:00,closed,-5,
28,77918,INGEST,ce99a09d-5ee2-4310-b5f3-9becf826efec,2005-09-18T20:16:01+00:00,closed,-4,
29,66030,INGEST,e0458f98-3f0f-4252-984f-9edbc07c42d2,2005-09-18T20:06:03+00:00,closed,-7,
30,45160,INGEST,e3d3bc3f-fd98-46e1-9c89-9316bbd03bf0,2005-09-18T20:06:02+00:00,closed,-7,
31,65207,INGEST,f19f13f1-53b2-40d1-91c1-124a01b9b323,2005-09-20T01:08:26+00:00,closed,-5,
