,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,CHI,5.0,0,7b112545-38e6-483c-a55c-96cf6ee49cb8,0,Chicago,Bears,5,30,60,29:00,1091,27,28,0,sr:competitor:4391,299,1
2,NE,5.2,3,97354895-8c77-4fd4-a860-32e62ea7382a,1,New England,Patriots,6,65,76,31:00,1103,69,19,0,sr:competitor:4424,397,2
