,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,STL,6.8,2,39f349de-6463-4803-ad70-f1e0f144f5ed,2,St. Louis,Rams,8,52,58,27:23,154,30,14,0,,394,3
2,WAS,5.9,1,22052ff7-c065-42ee-bc8f-c4691c50e624,0,Washington,Redskins,9,67,68,32:37,157,82,32,1,sr:competitor:4432,400,1
