,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,MIN,6.0,1,33405046-04ee-4058-a950-d606f8c30852,0,Minnesota,Vikings,4,35,50,26:59,2600,88,27,0,sr:competitor:4423,302,1
2,ATL,4.0,1,e6aa13a4-0055-48a9-bc41-be28dc106929,0,Atlanta,Falcons,6,40,66,33:01,2584,20,28,0,sr:competitor:4393,265,2
