,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,SD,4.4,1,9dbb9060-ba0f-4920-829e-16d4d9246b5d,0,San Diego,Chargers,6,65,56,30:05,187,34,35,0,,245,0
2,CIN,4.0,3,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,1,Cincinnati,Bengals,7,61,60,29:55,168,11,26,0,sr:competitor:4416,237,4
