,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,OAK,6.0,2,1c1cec48-6352-4556-b789-35304c1a6ae1,2,Oakland,Raiders,5,51,44,22:54,148,0,19,0,sr:competitor:4390,263,4
2,DEN,5.5,1,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,Denver,Broncos,3,30,71,37:06,136,22,39,0,sr:competitor:4418,387,1
