,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,SD,7.0,1,9dbb9060-ba0f-4920-829e-16d4d9246b5d,1,San Diego,Chargers,5,38,60,30:46,2575,5,36,0,,419,1
2,DEN,5.3,3,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,1,Denver,Broncos,2,10,62,29:14,2558,-3,28,0,sr:competitor:4418,328,1
