,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,ARI,4.5,3,de760528-1dc0-416a-a978-b510d20692ff,2,Arizona,Cardinals,3,15,68,28:03,127,34,23,0,sr:competitor:4412,309,4
2,BAL,3.4,3,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,1,Baltimore,Ravens,6,64,63,31:57,129,134,37,0,sr:competitor:4413,214,2
