,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,NYJ,4.8,0,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,0,New York,Jets,0,0,56,28:04,2605,26,32,0,sr:competitor:4427,267,1
2,PHI,6.3,0,386bdbf9-9eea-4869-bb9a-274b0bc66e80,0,Philadelphia,Eagles,2,14,66,31:56,2607,32,28,0,sr:competitor:4428,413,1
