,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,OAK,7.5,2,1c1cec48-6352-4556-b789-35304c1a6ae1,1,Oakland,Raiders,10,117,62,29:35,1108,257,21,0,sr:competitor:4390,464,1
2,TEN,6.7,0,d26a1ca5-722d-4274-8f97-c92e49c96315,0,Tennessee,Titans,11,77,64,30:25,1116,14,16,0,sr:competitor:367364,430,4
