,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,CIN,3.9,2,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,2,Cincinnati,Bengals,6,55,54,25:58,2619,21,16,0,sr:competitor:4416,211,5
2,CLE,4.0,2,d5a2eb42-8065-4174-ab79-0a6fa820e35e,1,Cleveland,Browns,9,52,65,34:02,2646,49,40,0,sr:competitor:4417,261,2
