,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,total_yards,turnovers
0,,,,,,,,,,,,,,,,,
1,STL,8.2,4,39f349de-6463-4803-ad70-f1e0f144f5ed,4,St. Louis,Rams,10,85,64,30:13,1114,-4,16,0,524,4
2,SD,5.1,0,9dbb9060-ba0f-4920-829e-16d4d9246b5d,0,San Diego,Chargers,12,82,50,29:47,1111,33,29,0,256,2
