,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,OAK,6.3,1,1c1cec48-6352-4556-b789-35304c1a6ae1,1,Oakland,Raiders,11,74,63,30:35,2498,36,31,0,sr:competitor:4390,399,2
2,TB,6.5,1,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,Tampa Bay,Buccaneers,8,56,60,29:25,2505,16,22,0,sr:competitor:4388,389,1
