,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,MIA,3.9,2,4809ecb0-abd3-451d-9c4a-92a90b83ca06,0,Miami,Dolphins,14,76,67,29:31,2491,11,20,0,sr:competitor:4287,263,3
2,TEN,4.7,4,d26a1ca5-722d-4274-8f97-c92e49c96315,1,Tennessee,Titans,7,55,52,30:29,2506,57,36,0,sr:competitor:367364,243,1
