,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,total_yards,turnovers
0,,,,,,,,,,,,,,,,,
1,STL,9.9,0,39f349de-6463-4803-ad70-f1e0f144f5ed,0,St. Louis,Rams,4,36,62,30:25,154,64,26,0,614,0
2,SD,6.6,1,9dbb9060-ba0f-4920-829e-16d4d9246b5d,1,San Diego,Chargers,3,15,58,29:35,151,0,15,0,381,2
