,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,ATL,5.8,2,e6aa13a4-0055-48a9-bc41-be28dc106929,2,Atlanta,Falcons,11,87,77,36:02,2516,24,36,0,sr:competitor:4393,443,2
2,TB,5.6,0,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,0,Tampa Bay,Buccaneers,8,55,46,23:58,2545,2,27,0,sr:competitor:4388,258,1
