,alias,avg_gain,fumbles,id,lost_fumbles,market,name,penalties,penalty_yards,play_count,possession_time,reference,return_yards,rush_plays,safeties,sr_id,total_yards,turnovers
0,,,,,,,,,,,,,,,,,,
1,IND,6.4,3,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,0,Indianapolis,Colts,10,70,73,31:34,2488,24,25,0,sr:competitor:4421,464,1
2,SD,6.1,1,9dbb9060-ba0f-4920-829e-16d4d9246b5d,0,San Diego,Chargers,7,63,61,31:13,2501,30,29,0,,374,1
