,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset
49,70744,INGEST,02cf4b1d-7d6a-4630-b927-9b5d0ecdfaa5,62,55898,2013-09-30T00:30:50+00:00,closed,-5
50,69143,INGEST,15958065-3655-46f9-9063-b9a5ab38a232,58,55894,2013-09-29T20:05:47+00:00,closed,-6
51,77002,INGEST,1da8fcb4-90b3-47ac-ab9e-3b1a011f418d,59,55895,2013-09-29T20:25:23+00:00,closed,-7
52,44956,INGEST,238955ce-ceb5-49e5-8028-4abfd1ba1dd5,57,55893,2013-09-29T17:03:24+00:00,closed,-5
53,68601,INGEST,2899394a-4176-433a-80bc-057bf61d9350,61,55897,2013-09-29T20:25:41+00:00,closed,-8
54,71756,INGEST,2e99eeeb-fec0-4fd0-a704-97c36071b9b8,53,55889,2013-09-29T17:03:12+00:00,closed,-6
55,71481,INGEST,39bb625c-2c72-4ab2-a094-36675d9d2d8d,51,55887,2013-09-29T17:06:48+00:00,closed,-5
56,56640,INGEST,3f4534e3-1544-41e7-8655-f2355e6bbc9a,49,55885,2013-09-27T00:29:27+00:00,closed,-6
57,73386,INGEST,4316e543-e764-48ba-af45-6f9462a6141d,55,55891,2013-09-29T16:02:41+00:00,closed,-6
58,59695,INGEST,732c7acd-ef1a-4538-b72c-27effc5fbb1f,54,55890,2013-09-29T17:06:58+00:00,closed,-5
59,64552,INGEST,7b96cd18-e1d3-4383-b2ef-c33e31312b6a,52,55888,2013-09-29T17:03:13+00:00,closed,-5
60,73118,INGEST,a9abbe53-91fe-45a5-bc9e-bdb0f66bf0ed,63,55899,2013-10-01T00:40:26+00:00,closed,-6
61,83518,INGEST,baf2750e-91fa-43b1-89c2-790af7bb505b,56,55892,2013-09-29T17:07:01+00:00,closed,0
62,53549,INGEST,f05087b2-4f8a-42c6-9a9c-b175c64adb4e,60,55896,2013-09-29T20:25:44+00:00,closed,-8
63,62361,INGEST,065b340a-2fbc-4ee4-a186-173c40cb8fc2,65,55901,2013-10-06T17:02:47+00:00,closed,-6
64,69732,INGEST,2362bd57-0ebb-4ebb-a3a5-3041792926ed,76,55912,2013-10-07T00:31:05+00:00,closed,-8
65,80738,INGEST,2a295c8c-446b-463c-8433-a7753cfdc5eb,70,55906,2013-10-06T17:02:47+00:00,closed,-5
66,48834,INGEST,2e148b67-5083-4f89-98d4-c5706fb6f4e9,75,55911,2013-10-07T03:35:26+00:00,closed,-8
