,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
0,63179,INGEST,28290722-4ceb-4a4c-a4e5-1f9bec7283b3,5,56905,2016-09-11T17:00:00+00:00,,closed,-5,"Temp: 90 F, Humidity: 55%, Wind: N 3 mph"
1,63816,INGEST,3b1521d9-ec2c-48e9-b695-c493e65470b1,10,56910,2016-09-11T17:00:00+00:00,,closed,-6,"Sunny Temp: 76 F, Humidity: 47%, Wind: East 5 mph"
2,71933,INGEST,3c3167d9-9f67-4ed0-bf1c-e0f3533804da,4,56904,2016-09-11T17:00:00+00:00,,closed,-6,"Sunny Temp: 84 F, Humidity: 61%, Wind: NNW 3 mph"
3,92867,INGEST,409c7354-4cf4-4407-b9e6-1ea745de0243,12,56912,2016-09-11T20:25:00+00:00,,closed,-6,"Temp:  F, Wind:   mph"
4,69382,INGEST,41232c5c-ee3a-4fdf-86a3-0f729ee20f55,2,56902,2016-09-11T17:00:00+00:00,,closed,-5,"Temp:  F, Wind:   mph"
5,71104,INGEST,4869831f-c60a-42cd-bd45-577ac3b1b90f,3,56903,2016-09-11T17:00:00+00:00,,closed,-5,"Partly Cloudy Temp: 84 F, Humidity: 44%, Wind: NE 8 mph"
6,76843,INGEST,5619ac19-8fea-4de2-9ce3-88c97a54bfea,1,56901,2016-09-09T00:30:00+00:00,,closed,-7,"Sunny and Clear Temp: 85 F, Humidity: 12%, Wind: East 10 mph"
7,64864,INGEST,568d84eb-874f-49f4-b77d-dc23412fb87c,14,56914,2016-09-12T00:30:00+00:00,,closed,-8,"Temp:  F, Wind:   mph"
8,65566,INGEST,673b459c-7506-4c11-9273-1b9502537f1d,13,56913,2016-09-11T20:25:00+00:00,,closed,-5,"Partly sunny Temp: 76 F, Humidity: 46%, Wind: S 5 mph"
9,78160,INGEST,74e30119-92ef-40b2-bb3e-8d9ffe674ab0,8,56908,2016-09-11T17:00:00+00:00,,closed,-5,"Clear Temp: 79 F, Humidity: 40 %, Wind: NW 17 mph gusting to 28 mph"
10,79124,INGEST,791abb84-4560-439e-b85e-87f2a0271c18,15,56915,2016-09-12T23:10:00+00:00,,closed,-5,"Sunny Temp: 79 F, Humidity: 41%, Wind: ESE 4 mph"
11,73028,INGEST,804fd6d8-78cc-4d34-b8e1-84e76f66d52d,7,56907,2016-09-11T17:00:00+00:00,,closed,-6,"Partly Cloudy Temp: 87 F, Humidity: 69%, Wind: E 4 mph"
12,70178,INGEST,848b21b3-6588-4194-8257-9359ede4a169,16,56916,2016-09-13T02:20:00+00:00,,closed,-8,"Clear Temp: 66 F, Humidity: 56%, Wind: NW 17 mph"
13,69596,INGEST,a45fff6c-ace6-4072-a966-c91b8176977e,9,56909,2016-09-11T17:00:00+00:00,,closed,-5,"Partly CLoudy Temp: 85 F, Humidity: 42%, Wind: WNW 14 mph"
14,73238,INGEST,bae9b12d-850a-40d1-812d-10ec340c67da,6,56906,2016-09-11T17:00:00+00:00,,closed,-6,"Sunny Temp: 74 F, Humidity: 51%, Wind: South 9 mph"
15,69012,INGEST,c8dc876a-099e-4e95-93dc-0eb143c6954f,11,56911,2016-09-11T20:05:00+00:00,,closed,-8,"Sunny Temp: 61 F, Humidity: 68%, Wind: ESE 2 mph"
16,62268,INGEST,07760223-4002-48b7-8ee6-ed7df50a3f68,32,56932,2016-09-20T00:30:00+00:00,,closed,-6,"Mostly Cloudy Temp: 84 F, Humidity: 36%, Wind: SW 5 mph"
17,67431,INGEST,07c2184e-9e10-4ed7-b547-f82d2c18fbb3,19,56919,2016-09-18T17:00:00+00:00,,closed,-5,"Temp: 74 F, Humidity: 70%, Wind: wsw 7 mph"
18,54081,INGEST,173541f2-b506-4730-b2f0-c9f3f748edcd,29,56929,2016-09-18T20:25:00+00:00,,closed,-8,"Sunny Temp: 79 F, Humidity: 41%, Wind: W 7 MPH mph"
19,64230,INGEST,1ff7480c-c5b0-4d8b-ba57-049878bc163d,26,56926,2016-09-18T20:05:00+00:00,,closed,-8,"Temp:  F, Wind:   mph"
20,65072,INGEST,4231d216-6057-4244-8b5b-c200b50348b4,24,56924,2016-09-18T17:00:00+00:00,,closed,-5,"Cloudy Temp: 72 F, Humidity: 86%, Wind: From SSE 4 mph"
21,80612,INGEST,4c143624-2c33-4113-840c-7bd716f803f5,25,56925,2016-09-18T17:00:00+00:00,,closed,-5,"Sunny Temp: 81 F, Humidity: 65%, Wind: South 6 mph"
22,71890,INGEST,52a4494d-5db6-4e75-ace4-6d72addb6172,21,56921,2016-09-18T17:00:00+00:00,,closed,-6,"Partly Cloudy Temp: 91 F, Humidity: 63%, Wind: WSW 6 mph"
23,74143,INGEST,5e75c34f-dfcd-4898-b6a9-a5f150d32859,18,56918,2016-09-18T17:00:00+00:00,,closed,-5,"Sunny Temp: 82 F, Humidity: 60%, Wind: ENE 4 mph"
24,70256,INGEST,673a6cb3-0674-45b0-912e-d848532ebcf0,17,56917,2016-09-16T00:25:00+00:00,,closed,-5,"Partly Cloudy Temp: 60 F, Humidity: 65%, Wind: NNE 11 mph"
25,77727,INGEST,7681625e-14a7-4602-aec1-66df3b022264,23,56923,2016-09-18T17:00:00+00:00,,closed,-5,"Mostly Cloudy Temp: 80 F, Humidity: 74%, Wind: WSW 5 mph"
26,76379,INGEST,986257f1-6677-4dde-b27c-6ba2179ec738,28,56928,2016-09-18T20:25:00+00:00,,closed,-7,"Sunny Temp: 85 F, Humidity: 15%, Wind: East 4 mph"
27,58466,INGEST,a84f3c13-c3e9-4f29-a47d-633748456085,20,56920,2016-09-18T17:00:00+00:00,,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
28,91046,INGEST,aab78fce-f336-4324-a679-3e5e78712b1c,27,56927,2016-09-18T20:05:00+00:00,,closed,-8,"Sunny Temp: 88 F, Humidity: 39%, Wind: SW 3 MPH mph"
29,66829,INGEST,e4120cfd-5e01-4017-bb5d-333124ca22c6,22,56922,2016-09-18T17:00:00+00:00,,closed,-5,"Cloudy, Humid, Chance of Rain Temp: 79 F, Humidity: 66%, Wind: SSW 10 mph"
30,66813,INGEST,ef237961-7bbb-4f3b-bafe-38fb76a41f63,31,56931,2016-09-19T00:30:00+00:00,,closed,-6,"Indoors Temp: 77 F, Wind:   mph"
31,52165,INGEST,faca337f-8de0-4849-8e19-80e3edd704e3,30,56930,2016-09-18T20:25:00+00:00,,closed,-8,"Sunny Temp: 82 F, Humidity: 51%, Wind: WSW 7 mph"
32,68647,INGEST,14767717-2994-4681-934a-893ccd42665f,34,56934,2016-09-25T17:00:00+00:00,,closed,-5,"Sunny Temp: 64 F, Humidity: 44%, Wind: NNE 8 mph"
33,64747,INGEST,15d0c571-57e6-4520-803b-962b79a3c576,44,56944,2016-09-25T20:25:00+00:00,,closed,-5,"Cloudy Temp: 85 F, Humidity: 52%, Wind: SSW 8 mph"
34,65176,INGEST,24940ae1-dd6b-4e76-b297-ff8ce9ead880,39,56939,2016-09-25T17:00:00+00:00,,closed,-5,"Temp: 86 F, Humidity: 65%, Wind: E 16 mph"
35,78368,INGEST,2a33ba64-b561-4422-80ff-10cf51bce225,40,56940,2016-09-25T17:00:00+00:00,,closed,-5,"Sunny Temp: 67 F, Humidity: 37%, Wind: NNE 2 mph"
36,78411,INGEST,4b4ba3c8-787b-45b9-9d9d-bf217a20b012,37,56937,2016-09-25T17:00:00+00:00,,closed,-6,"Temp: 72 F, Humidity: 84%, Wind: S 17 mph"
37,69010,INGEST,6cb95aaa-409b-4331-b69b-756e3abef909,42,56942,2016-09-25T20:05:00+00:00,,closed,-8,"Sunny Temp: 66 F, Humidity: 63%, Wind: NW 6 mph"
38,60127,INGEST,7ba59948-de58-42c2-87ad-ce1362fe2e2f,38,56938,2016-09-25T17:00:00+00:00,,closed,-5,"Temp: 88 F, Wind: NE 8 mph"
39,62370,INGEST,a5c77ccd-7cd0-439c-b1d7-558a42fa7bb4,41,56941,2016-09-25T17:00:00+00:00,,closed,-6,"Sunny Temp: 89 F, Humidity: 49%, Wind: NNE 2 mph"
