,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
0,76512,INGEST,0141a0a5-13e5-4b28-b19f-0c3923aaef6e,8,56510,2015-09-13T17:02:41+00:00,closed,-5,"Partly Cloudy Temp: 69 F, Humidity: 58%, Wind: NW 10 mph"
1,63945,INGEST,1ca9a0c1-d145-4acb-aca2-cb2b5fe529b9,13,56515,2015-09-13T20:25:49+00:00,closed,-5,"Cloudy Temp: 84 F, Humidity: 66%, Wind: NNE 8 mph"
2,70516,INGEST,2b75bc2a-a0ee-40c7-8a74-e8b1a6e9c256,15,56517,2015-09-14T23:10:47+00:00,closed,-5,"Indoor Temp: 72 F, Wind:   mph"
3,60733,INGEST,51689a76-5dce-46a1-aa90-c2c04f806340,5,56507,2015-09-13T17:03:56+00:00,closed,-5,"0% Chance of Rain Temp: 77 F, Humidity: 55%, Wind: North 7 mph mph"
4,76798,INGEST,56d3f529-89a1-40a8-a323-4811aacc0044,11,56513,2015-09-13T20:25:26+00:00,closed,-7,"Partly Sunny Temp: 88 F, Humidity: 8%, Wind: NW 13 mph"
5,70799,INGEST,718a4f52-c6af-4080-b955-95e8769b68a7,16,56518,2015-09-15T02:20:54+00:00,closed,-8,"Partly Cloudy Temp: 70 F, Humidity: 63%, Wind: S 5 mph"
6,51792,INGEST,83b72efe-7955-4fa4-9149-9eaccbbf0f20,7,56509,2015-09-13T17:03:42+00:00,closed,-6,"Temp:  F, Wind:   mph"
7,62442,INGEST,8c65a3c5-9e23-419d-be18-a7663eb53550,3,56505,2015-09-13T17:06:15+00:00,closed,-6,"Mostly sunny, temps to low 70's Temp: 68 F, Humidity: 39%, Wind: WNW 11 mph"
8,78160,INGEST,95091eb4-5bb9-445d-b3f8-023df4dd8d33,6,56508,2015-09-13T17:04:19+00:00,closed,-5,"Cloudy Temp: 77 F, Humidity: 49%, Wind: SW 8 mph"
9,70319,INGEST,9920f2a3-720f-4973-998a-eae9b965b8d2,2,56504,2015-09-13T17:03:50+00:00,closed,-5,"Cloudy Temp: 56 F, Humidity: 78%, Wind: W 15 mph"
10,66829,INGEST,acbb3001-6bb6-41ce-9e91-942abd284e4c,1,56503,2015-09-11T00:41:06+00:00,closed,-5,"Rainy and cool Temp: 65 F, Wind: East 7 mph"
11,93579,INGEST,c8ca977e-77ad-42fc-a80b-0d4a78e73b87,14,56516,2015-09-14T00:31:03+00:00,closed,-6,"Temp:  F, Wind:   mph"
