,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
0,67431,INGEST,06d50f40-10ca-4918-bda7-7df773a771f0,3,57902,2019-09-08T17:00:00+00:00,sr:match:18001343,closed,-5,"Partly Cloudy Temp: 71 F, Humidity: 55%, Wind: NE 10 mph"
1,65012,INGEST,26c758eb-ebf1-46aa-9fa8-6934a8a74b23,5,57904,2019-09-08T17:00:00+00:00,sr:match:18001335,closed,-5,"Mostly Cloudy Temp: 91 F, Humidity: 56%, Wind: SSE 8 mph"
2,52359,INGEST,31c88647-6e15-47c5-b196-e03a7991a75b,16,57915,2019-09-10T02:20:00+00:00,sr:match:18001393,closed,-8,"Breezy Temp: 68 F, Humidity: 66%, Wind: W 15 mph"
3,73039,INGEST,3242f9ee-37c7-4508-aac9-6fb98259d673,15,57914,2019-09-09T23:10:00+00:00,sr:match:18001387,closed,-6,"Partly Cloudy Temp: 91 F, Humidity: 59%, Wind: SE 9 mph"
4,68710,INGEST,388f432f-f522-4552-9d81-55d64e804066,10,57909,2019-09-08T20:05:00+00:00,sr:match:18001357,closed,-8,"Cloudy Temp: 64 F, Humidity: 82%, Wind: S 7 mph"
5,65878,INGEST,3d3c2bda-e7b9-409a-9702-7ebaa0c7b5a3,14,57913,2019-09-09T00:20:00+00:00,sr:match:18001381,closed,-5,"Partly cloudy and mild Temp: 66 F, Humidity: 62%, Wind: NW 2 mph"
6,55976,INGEST,4b2875df-6f6b-4b33-9736-63e8637dcfef,13,57912,2019-09-08T20:25:00+00:00,sr:match:18001363,closed,-5,"Cloudy Temp: 93 F, Humidity: 52%, Wind: SW 9 mph"
7,78523,INGEST,75dce1db-65cb-42a7-a8ed-7bf5e9142f69,7,57906,2019-09-08T17:00:00+00:00,sr:match:18001331,closed,-5,"Mostly Sunny Temp: 77 F, Humidity: 46%, Wind: WNW 6 mph"
8,25363,INGEST,97af9f1a-cdae-40de-accc-080cb0d108bd,9,57908,2019-09-08T20:05:00+00:00,sr:match:18001351,closed,-8,"Sunny Temp: 77 F, Humidity: 52%, Wind: SW 10 mph"
9,69696,INGEST,9b261925-6913-4027-8348-2f93cc340956,8,57907,2019-09-08T17:00:00+00:00,sr:match:18001327,closed,-5,"Sunny Temp: 79 F, Humidity: 49%, Wind: W 4 mph"
10,60687,INGEST,ac9c23dc-8628-4954-84d1-26818cb0ac74,11,57910,2019-09-08T20:25:00+00:00,sr:match:18001373,closed,-8,"N/A Temp:  F, Wind:   mph"
11,60157,INGEST,af36ccfd-98ee-4c93-827e-7384d67919f5,4,57903,2019-09-08T17:00:00+00:00,sr:match:18001337,closed,-5,"Clear Temp: 91 F, Humidity: 54%, Wind: WSW 6mph mph"
12,72005,INGEST,b71eb733-026a-49d1-a1a1-2d59893a2e44,2,57901,2019-09-08T17:00:00+00:00,sr:match:18001325,closed,-5,"Sunny Temp: 87 F, Humidity: 53%, Wind: NNE 3 mph"
13,66714,INGEST,d40d7cb4-2b6b-4f44-b540-dfbaf0582456,6,57905,2019-09-08T17:00:00+00:00,sr:match:18001183,closed,-6,"N/A (Indoors) Temp:  F, Wind:   mph"
14,62435,INGEST,ebe4b2b3-cad3-42ca-9282-a8f44482d9a6,1,57900,2019-09-06T00:20:00+00:00,sr:match:18001319,closed,-6,"Clear Temp: 65 F, Humidity: 69%, Wind: E 10 mph"
15,90353,INGEST,f5d68421-c3a5-4c69-8617-a9ebe8a5c997,12,57911,2019-09-08T20:25:00+00:00,sr:match:18001365,closed,-6,"Temp:  F, Wind:   mph"
16,60158,INGEST,1dc044c4-a097-4dad-ae70-e82563602a9a,20,57919,2019-09-15T17:00:00+00:00,sr:match:18001425,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
17,76885,INGEST,271203ab-56dc-4fc8-906d-4835c79694cf,29,57928,2019-09-15T20:25:00+00:00,sr:match:18001445,closed,-7,"Mostly Sunny Temp: 87 F, Humidity: 14%, Wind: East 3 mph"
18,71101,INGEST,2f490fd3-c6b3-4e0b-bc92-11ce30a4c1d8,17,57916,2019-09-13T00:20:00+00:00,sr:match:18001403,closed,-5,"Cloudy Temp: 85 F, Humidity: 55%, Wind: ENE 3 mph"
19,62849,INGEST,3224dbdf-ad1e-4389-b1b8-7ab57b7990fc,26,57925,2019-09-15T17:00:00+00:00,sr:match:18001413,closed,-6,"Sunny Temp: 93 F, Humidity: 45%, Wind: NE 1 mph"
20,72443,INGEST,3d3fa2e0-4497-47b3-82b8-be907ab74826,31,57930,2019-09-16T00:20:00+00:00,sr:match:18001451,closed,-5,"Temp:  F, Wind:   mph"
