,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
0,76324,INGEST,057ded67-c019-4047-8d2d-2e71cbb771b9,16,57249,2017-09-12T02:20:00+00:00,sr:match:11538579,closed,-7,"Mostly Cloudy Temp: 73 F, Humidity: 39%, Wind: SouthWest 12 mph"
1,,INGEST,0c556cf1-8e1a-4361-be73-7d84fd772aea,8,57241,2017-09-10T17:00:00+00:00,sr:match:11538557,postponed,,
2,67431,INGEST,127e32f4-5786-4c37-9fc3-dd04aedd6aa5,5,57238,2017-09-10T17:00:00+00:00,sr:match:11538567,closed,-5,"Sunny Temp: 63 F, Humidity: 53%, Wind: East 11 mph"
3,61857,INGEST,24e20c00-cbe7-492e-bc25-6ddd3f856891,3,57236,2017-09-10T17:00:00+00:00,sr:match:11538563,closed,-6,"Sunny Temp: 64 F, Humidity: 57%, Wind: SE 10 mph"
4,78685,INGEST,2b859a54-56db-4917-ba6e-e978ab076380,10,57243,2017-09-10T17:00:00+00:00,sr:match:11538553,closed,-5,"Sunny Temp: 67 F, Humidity: 54%, Wind: North 5 mph"
5,68751,INGEST,34fa52ab-8816-4e2e-a67a-3ce37621ba91,2,57235,2017-09-10T17:00:00+00:00,sr:match:11538551,closed,-5,"Sun & clouds Temp: 65 F, Humidity: 53%, Wind: NNE 6 mph"
6,71710,INGEST,72436e91-8e19-4a9e-a6f5-cdc3ff6cc1fe,7,57240,2017-09-10T17:00:00+00:00,sr:match:11538559,closed,-6,"Sunny Temp: 80 F, Humidity: 49%, Wind: NNE 10 mph"
7,93183,INGEST,84e6ee01-6fe8-43b8-8a6c-6571e8d28516,14,57247,2017-09-11T00:30:00+00:00,sr:match:11538575,closed,-6,"Temp:  F, Wind:   mph"
8,60957,INGEST,c82a4724-5c38-412a-bc00-7228cd619ea4,6,57239,2017-09-10T17:00:00+00:00,sr:match:11538561,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
9,65878,INGEST,d2c3b7b6-5ea7-4571-8206-ec96f77857ef,1,57234,2017-09-08T00:30:00+00:00,sr:match:11538549,closed,-5,"Clear and warm Temp: 63 F, Humidity: 77%, Wind: SW 8 mph"
10,66606,INGEST,d58c4625-bf2d-44f9-ae45-f7081aea0687,15,57248,2017-09-11T23:10:00+00:00,sr:match:11538577,closed,-6,"Indoor Temp: 70 F, Wind:   mph"
11,69089,INGEST,d8634860-bbcf-47ac-acdf-7e4f621bcb8c,9,57242,2017-09-10T17:00:00+00:00,sr:match:12237830,closed,-6,"Sunny Temp: 72 F, Humidity: 50%, Wind: NE 7 mph"
12,60128,INGEST,e3882005-f8e5-47b4-a3c0-9e3c193a9616,11,57244,2017-09-10T20:05:00+00:00,sr:match:11538569,closed,-8,"Sunny Temp: 90 F, Humidity: 38%, Wind: SW 2 mph"
13,78381,INGEST,e3bf7b46-f327-4620-9c1a-a39dbd335533,12,57245,2017-09-10T20:25:00+00:00,sr:match:11538571,closed,-6,"Mostly Sunny Temp: 71 F, Humidity: 49%, Wind: S 11 mph"
14,55254,INGEST,e40fa39f-1708-4065-8ded-9be524c3e55e,4,57237,2017-09-10T17:00:00+00:00,sr:match:11538565,closed,-5,"Sunny Temp: 68 F, Humidity: 43%, Wind: SE 9 mph"
15,70178,INGEST,e9c32ef6-39ec-45ae-97e6-a7da444c9a8c,13,57246,2017-09-10T20:25:00+00:00,sr:match:11538573,closed,-8,"Clear Temp: 87 F, Humidity: 43%, Wind: Northwest 8 mph"
16,52942,INGEST,09c26b84-3269-449a-8450-2cbefa422488,17,57250,2017-09-15T00:25:00+00:00,sr:match:11538639,closed,-5,"Mostly Coudy Temp: 69 F, Humidity: 78%, Wind: ENE 2 mph"
17,70605,INGEST,0d8f5318-5cf5-4b8f-97c5-a56fda6c4210,18,57251,2017-09-17T17:00:00+00:00,sr:match:11538643,closed,-5,"Mostly Cloudy Temp: 80 F, Humidity: 69%, Wind: ESE 2 mph"
18,65971,INGEST,1bc65a4a-fe9c-4ab6-8914-b59983922b7d,24,57257,2017-09-17T17:00:00+00:00,sr:match:11538653,closed,-5,"Sunny Temp: 78 F, Humidity: 64%, Wind: From S 1 mph"
19,54729,INGEST,246a7239-24a4-4227-8eb7-b5907f1e8d5b,27,57260,2017-09-17T20:05:00+00:00,sr:match:11538671,closed,-8,"Sunny Temp: 70 F, Humidity: 57%, Wind: South 6 mph"
20,73168,INGEST,2a4efc7b-f056-410e-9223-5efcec57c41f,23,57256,2017-09-17T17:00:00+00:00,sr:match:11538655,closed,-6,"Mostly Cloudy Temp: 85 F, Humidity: 75%, Wind: NNE 7 mph"
21,56640,INGEST,829303a7-6282-4719-b91f-47648a7dc2b7,25,57258,2017-09-17T17:00:00+00:00,sr:match:11538649,closed,-5,"Clear Temp: 88 F, Humidity: 62%, Wind: NE 7 mph"
22,61709,INGEST,953a076e-bd60-41db-b39f-b54f5fc8f73b,21,57254,2017-09-17T17:00:00+00:00,sr:match:11538663,closed,-5,"Partly Cloudy Temp: 84 F, Humidity: 59%, Wind: NW 10 mph"
23,63137,INGEST,c30e7df5-866c-47bb-829b-3c7f7ed32aca,20,57253,2017-09-17T17:00:00+00:00,sr:match:11538665,closed,-5,"Partly sunny Temp: 78 F, Humidity: 66%, Wind: SSW 6 mph"
24,74971,INGEST,c33ae109-e733-4dbd-94d5-c4c0a884ed16,22,57255,2017-09-17T17:00:00+00:00,sr:match:11538659,closed,-6,"Cloudy Temp: 68 F, Humidity: 95%, Wind: Northeast 7 mph"
25,76919,INGEST,c9836c4a-577f-4b32-a73d-80989cd4332c,28,57261,2017-09-17T20:25:00+00:00,sr:match:11538681,closed,-7,"Partly Cloudy Temp: 72 F, Humidity: 41%, Wind: SouthWest 5 mph"
26,74122,INGEST,cd54dbab-6769-4c11-9bca-e8373f78173a,19,57252,2017-09-17T17:00:00+00:00,sr:match:11538667,closed,-5,"Sunny Temp: 83 F, Humidity: 60%, Wind: North 5 mph"
