,attendance,entry_mode,id,scheduled,status,utc_offset,weather
234,70649,INGEST,8ff02c14-c1db-4d65-80bb-0b27610e6d21,2010-12-26T21:15:56+00:00,closed,-6,
235,70144,INGEST,a3cc021e-f007-4b9c-b8d5-39066b0d5ef5,2010-12-28T01:40:45+00:00,closed,-5,
236,65606,INGEST,b124ef71-83d3-41a4-8868-8e5e31c0cecf,2010-12-26T18:02:56+00:00,closed,-6,
237,63470,INGEST,b751ecac-9f4e-46e2-af63-abaf23d2da9b,2010-12-26T18:03:43+00:00,closed,-5,
238,46576,INGEST,dfdb9f49-4140-49ac-b5f2-91b3b77503d8,2010-12-26T21:16:05+00:00,closed,-5,
239,61748,INGEST,ef078faf-3536-4128-a32f-94506f623354,2010-12-24T01:29:58+00:00,closed,-5,
240,79019,INGEST,0efd7cf8-c255-406f-b07e-a73293c6a980,2011-01-02T18:02:54+00:00,closed,-5,
241,71088,INGEST,1507edd0-1252-43ec-96f7-1a7a04a2414d,2011-01-02T18:04:11+00:00,closed,-5,
242,69732,INGEST,1823fa6f-9459-4492-bf80-a26cc1b84e73,2011-01-02T21:15:31+00:00,closed,-8,
243,57013,INGEST,198102ae-c155-4ba0-9ecf-f675ccd5e602,2011-01-02T18:03:10+00:00,closed,-5,
244,67188,INGEST,3f0e1b5e-4ba8-4596-8be9-09bf8f43a6be,2011-01-02T21:16:05+00:00,closed,-5,
245,67349,INGEST,42e8a6f7-e6b4-4af2-acc7-6b7b3f86d6f7,2011-01-02T18:03:04+00:00,closed,-5,
246,76189,INGEST,538767c8-056e-4441-84f0-fd3b0a7bd016,2011-01-02T21:15:58+00:00,closed,-5,
247,67325,INGEST,709f01eb-eb91-4a09-a66a-548e7f40a16b,2011-01-03T01:30:42+00:00,closed,-8,
248,70068,INGEST,8fd28f0d-feba-49ba-aa8b-bd49a380d111,2011-01-02T18:02:57+00:00,closed,-6,
249,69144,INGEST,9cb1a9e0-5ea3-4531-8423-46e2a7baf2ff,2011-01-02T21:15:39+00:00,closed,-5,
250,71023,INGEST,a4f0efda-6918-4c7c-a398-741aa7ad4d82,2011-01-02T21:16:48+00:00,closed,-6,
251,70833,INGEST,ae7ae610-28f3-4360-bdfa-e51530f3a6ec,2011-01-02T21:15:15+00:00,closed,-6,
252,68303,INGEST,afad9a3c-758f-48e8-95eb-a0faa5bb03af,2011-01-02T18:02:36+00:00,closed,-5,
253,74155,INGEST,e0297726-cfce-40f2-ba8c-6f3302c7098c,2011-01-02T21:15:40+00:00,closed,-7,
254,68756,INGEST,e49a808d-f05e-48a6-9a70-ac3aff4eee94,2011-01-02T18:02:43+00:00,closed,-5,
255,67045,INGEST,f8649f30-cfd4-4f2d-b411-ea2223a3fa2a,2011-01-02T18:02:44+00:00,closed,-6,
