,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
64,54653,INGEST,0eab80ab-67d6-41a9-8cdb-7567fcd40e6e,64,55567,2012-10-05T00:29:44+00:00,closed,-6,
65,75337,INGEST,3ec50774-1757-42c7-b579-836e7cae0f5e,71,55574,2012-10-07T17:04:00+00:00,closed,-5,
66,68756,INGEST,52918071-f70a-43f5-ba6e-b3c88d62db94,74,55577,2012-10-07T20:25:43+00:00,closed,-5,
67,73109,INGEST,5f86eee3-293e-484a-9da6-d4bcbcecfe73,76,55579,2012-10-08T00:31:44+00:00,closed,-6,
68,72676,INGEST,603ec3c7-5298-4e58-82ee-b7091a1a3db3,72,55575,2012-10-07T20:05:50+00:00,closed,-5,
69,64737,INGEST,631868a2-53fa-4ec7-afa7-1f516affcded,70,55573,2012-10-07T17:02:57+00:00,closed,-5,
70,67020,INGEST,745e6643-5191-4244-acef-1f8f968579ca,66,55569,2012-10-07T17:03:39+00:00,closed,-5,
71,68803,INGEST,8d625a89-7cc9-45cd-b1d5-ec725ae19f39,67,55570,2012-10-07T17:02:44+00:00,closed,-6,
72,79911,INGEST,a94d5be7-b5b5-471f-ad47-fa9c53976fec,69,55572,2012-10-07T17:02:39+00:00,closed,-5,
73,67012,INGEST,ada0f50f-6256-456d-aaec-408c12a99a02,73,55576,2012-10-07T20:05:30+00:00,closed,-5,
74,61162,INGEST,e39a59f4-e605-4670-9c81-29c65876e737,65,55568,2012-10-07T17:03:14+00:00,closed,-5,
75,79088,INGEST,e5f9ae78-c14c-4752-b08f-c2fc9f1f099c,77,55580,2012-10-09T00:40:31+00:00,closed,-5,
76,57652,INGEST,edded3ae-8ed6-417b-8b46-4862e903255d,68,55571,2012-10-07T20:25:38+00:00,closed,-6,
77,46500,INGEST,4665b393-f6d7-45be-bad5-1ac29d6de44f,85,55588,2012-10-14T17:00:42+00:00,closed,-5,
78,69144,INGEST,476019b6-4227-40a5-a6ee-1e2add4aadb2,84,55587,2012-10-14T17:00:50+00:00,closed,-5,
79,79088,INGEST,4dea8474-b52f-4f39-9a51-3e4078c95771,83,55586,2012-10-14T17:00:10+00:00,closed,-5,
80,60385,INGEST,6641c92e-0b1c-4b7c-87ff-f4c7127fddbe,86,55589,2012-10-14T20:03:00+00:00,closed,-8,
81,68604,INGEST,68a14c56-9902-4740-be6d-147f6e90cb1a,91,55594,2012-10-16T00:40:38+00:00,closed,-8,
82,78476,INGEST,6f15d24f-4135-4e62-814e-0d13269dab08,89,55592,2012-10-14T20:23:48+00:00,closed,-5,
83,69732,INGEST,6f3162e8-f3ce-4670-8895-3c4552e4fb93,88,55591,2012-10-14T20:23:36+00:00,closed,-8,
84,67060,INGEST,79235c95-5451-46ad-bf37-17a0136182b9,81,55584,2012-10-14T16:59:55+00:00,closed,-5,
85,52983,INGEST,7d3eef90-f40f-44f1-91f3-d4bc0b77e32d,82,55585,2012-10-14T17:00:31+00:00,closed,-5,
86,71384,INGEST,8b021915-33b7-4d74-9d08-a35484371aeb,80,55583,2012-10-14T17:02:06+00:00,closed,-5,
87,68137,INGEST,9b812e6c-4a2f-4b44-a9ae-ad2e99229913,87,55590,2012-10-14T20:03:46+00:00,closed,-8,
88,71702,INGEST,bc40b1b8-1504-48a6-a6b5-08d5d60a383c,90,55593,2012-10-15T00:28:01+00:00,closed,-6,
89,69383,INGEST,cd72fefe-4c33-42ca-9dc3-e44e56bc5a2c,79,55582,2012-10-14T16:59:59+00:00,closed,-5,
90,69143,INGEST,d6bb6e75-0041-4fed-ac20-8ee8c80a4000,78,55581,2012-10-12T00:29:44+00:00,closed,-6,
91,63411,INGEST,0f221e25-97c3-485b-8566-dc29de153a71,103,55606,2012-10-22T00:30:46+00:00,closed,-5,
