,attendance,entry_mode,id,number,reference,scheduled,sr_id,status,utc_offset,weather
124,67431,INGEST,5dd46bc9-a97c-4803-b518-bd29fc9f86cf,126,57692,2018-11-04T18:00:00+00:00,sr:match:14387830,closed,-5,"Sunny Temp: 53 F, Humidity: 49%, Wind: South 16 mph"
125,73513,INGEST,73d665a9-e897-42c2-abf2-8f172cbb9051,125,57691,2018-11-04T18:00:00+00:00,sr:match:14387826,closed,-5,"Sunny Temp: 62 F, Humidity: 47%, Wind: East 8 mph"
126,65878,INGEST,8c279905-5dc9-4058-8880-0f11943336e0,133,57699,2018-11-05T01:20:00+00:00,sr:match:14387864,closed,-5,"Clear and Cool Temp: 40 F, Humidity: 76%, Wind: West 2 mph"
127,65533,INGEST,9e487dad-6013-4574-b3a6-7e8d0ae217e5,127,57693,2018-11-04T18:00:00+00:00,sr:match:14387836,closed,-5,"Partly Sunny Temp: 87 F, Humidity: 62%, Wind: SSE 16 mph"
128,73086,INGEST,ab8482f6-6ad3-45e4-8717-85c1f0c1495f,132,57698,2018-11-04T21:25:00+00:00,sr:match:14387860,closed,-6,"Cloudy Temp: 77 F, Humidity: 62%, Wind: SE 16 mph"
129,62386,INGEST,afbffd15-d28a-4191-a4e5-45c76c83390b,129,57695,2018-11-04T18:00:00+00:00,sr:match:14387846,closed,-5,"Sunny Temp: 55 F, Humidity: 46%, Wind: East 5 mph"
130,76270,INGEST,bfcadc6f-d746-4e32-8a71-77eb22d668d7,130,57696,2018-11-04T21:05:00+00:00,sr:match:14387852,closed,-7,"Cloudy Temp: 53 F, Humidity: 34%, Wind: Southwest 3 mph"
131,90466,INGEST,d667f5e6-5729-4ad5-8713-36f399e3fbdb,134,57700,2018-11-06T01:15:00+00:00,sr:match:14387868,closed,-6,"Clear skies Temp: 74 F, Humidity: 58%, Wind: North/Northwest 4 mph"
132,70997,INGEST,de798845-ebb4-41d0-a132-58a030bdcdbc,123,57689,2018-11-04T18:00:00+00:00,sr:match:14387838,closed,-5,"Sunny, Windy Temp: 55 F, Humidity: 45%, Wind: East 6 mph"
133,66825,INGEST,e48508ac-011f-48e9-aed2-9b3e8c193564,128,57694,2018-11-04T18:00:00+00:00,sr:match:14387842,closed,-6,"N/A (Indoors) Temp:  F, Wind:   mph"
134,69409,INGEST,2c61e083-1c2c-4c12-9659-76065ebad87a,148,57714,2018-11-13T01:15:00+00:00,sr:match:14387932,closed,-8,"Hazy Temp: 62 F, Humidity: 22%, Wind:  0 mph"
135,78076,INGEST,313bda30-1783-42b0-a7b9-029f923d0b78,139,57705,2018-11-11T21:25:00+00:00,sr:match:14387888,closed,-6,"Cloudy Temp: 33 F, Humidity: 66%, Wind: SW 6 mph"
136,77982,INGEST,3fe0fe0d-860d-42ad-889d-39dc70ceac4a,142,57708,2018-11-11T18:00:00+00:00,sr:match:14387916,closed,-5,"Sunny Temp: 46 F, Humidity: 39%, Wind: WNW 10 mph"
137,69363,INGEST,72b66a75-c288-43aa-9445-ca216fa98df8,144,57710,2018-11-11T18:00:00+00:00,sr:match:14387908,closed,-6,"Sunny Temp: 46 F, Humidity: 42%, Wind: SSW 4 mph"
138,54750,INGEST,829b1e6d-cee7-41b7-952a-3c487f291a1b,145,57711,2018-11-11T21:05:00+00:00,sr:match:14387920,closed,-8,"Hazy Temp: 69 F, Humidity: 15%, Wind: NE 16 mph"
139,52492,INGEST,9aff8410-a7c0-4e89-8568-1637d7864a21,137,57703,2018-11-11T18:00:00+00:00,sr:match:14387880,closed,-5,"Mostly Sunny Temp: 39 F, Humidity: 51%, Wind: SE 6 mph"
140,62881,INGEST,a06cd7cb-0ada-4574-8640-20e320ff5d79,135,57701,2018-11-09T01:20:00+00:00,sr:match:14387876,closed,-5,"Clear Temp: 40 F, Humidity: 76%, Wind: From NNE 4 mph"
141,76712,INGEST,ad96af9b-63a4-4fd5-99ba-162c904a4360,141,57707,2018-11-11T18:00:00+00:00,sr:match:14387906,closed,-6,"Sunny and clear Temp: 43 F, Humidity: 51%, Wind: North 5 mph"
142,52667,INGEST,be4ca9ab-0b54-4214-83c4-db8d8f5636c5,143,57709,2018-11-11T18:00:00+00:00,sr:match:14387912,closed,-5,"Clear Temp: 82 F, Humidity: 59%, Wind: ENE 3 mph"
143,61393,INGEST,c245ea05-92c0-4bb6-9eda-b7a2aa209d9b,136,57702,2018-11-11T18:00:00+00:00,sr:match:14387900,closed,-6,"Mostly Cloudy Temp: 37 F, Humidity: 52%, Wind: SSW 12 mph"
144,62144,INGEST,ddee3db3-fc0c-406d-9885-9e14caa44b31,138,57704,2018-11-11T18:00:00+00:00,sr:match:14387884,closed,-5,"Sunny Temp: 36 F, Humidity: 56%, Wind: South 9 mph"
145,72755,INGEST,e97822e2-665f-4118-8911-db18f83e8cd8,146,57712,2018-11-11T21:25:00+00:00,sr:match:14387924,closed,-8,"Sunny Temp: 75 F, Humidity: 20%, Wind: NNW 1 mph"
146,57473,INGEST,f20a7e05-f463-485a-92cb-ea7575af4add,140,57706,2018-11-11T18:00:00+00:00,sr:match:14387892,closed,-5,"Sunny Temp: 38 F, Humidity: 46%, Wind: S 10 mph"
147,69696,INGEST,fb257849-2e4a-408e-80fb-b8cf6b45b44a,147,57713,2018-11-12T01:20:00+00:00,sr:match:14387928,closed,-5,"Clear Temp: 38 F, Humidity: 62%, Wind: SW 5 mph"
148,61593,INGEST,11f81166-d04f-4604-a159-52c91bd469b8,156,57722,2018-11-18T18:00:00+00:00,sr:match:14387976,closed,-5,"Cloudy Temp: 48 F, Humidity: 56%, Wind: SSE 6 mph"
149,62435,INGEST,23addf51-be91-448e-8597-6961ea2dc466,157,57723,2018-11-18T21:05:00+00:00,sr:match:14387984,closed,-7,"Sunny Temp: 72 F, Humidity: 20%, Wind: SE 3 mph"
150,70077,INGEST,3fc2f89c-41b1-4942-930e-7f03a50f442d,151,57717,2018-11-18T18:00:00+00:00,sr:match:14387946,closed,-5,"Cloudy Temp: 48 F, Humidity: 58%, Wind: SE 8 mph"
151,61651,INGEST,5dd23bc6-58bf-43fa-b4d8-d29633396a2f,152,57718,2018-11-19T01:20:00+00:00,sr:match:14387950,closed,-6,"Partly Cloudy Temp: 33 F, Humidity: 77%, Wind: WSW 6 mph"
152,77002,INGEST,6450151d-6068-41b6-a755-cde25323741c,161,57727,2018-11-20T01:15:00+00:00,sr:match:14387996,closed,-8,"Cloudy Temp: 65 F, Humidity: 56%, Wind:   mph"
153,57401,INGEST,67e06bf5-83e5-45ca-829b-0cc840cb67e9,154,57720,2018-11-18T18:00:00+00:00,sr:match:14387962,closed,-5,"Cloudy Temp: 42 F, Humidity: 81%, Wind: N 7 mph"
154,67683,INGEST,69f30293-d664-4d2c-a42a-67a08c230fa2,160,57726,2018-11-18T18:00:00+00:00,sr:match:14387990,closed,-5,"Mostly Sunny Skies Temp: 73 F, Humidity: 60%, Wind: North 8 mph"
155,61999,INGEST,7699d9f3-3992-4d50-9497-3e5bd01f8e2a,153,57719,2018-11-18T18:00:00+00:00,sr:match:14387954,closed,-5,"Temp: 69 F, Humidity: 70%, Wind:   mph"
156,25462,INGEST,c322b323-e02c-469a-ae67-78fbaf87f787,158,57724,2018-11-18T21:05:00+00:00,sr:match:14387978,closed,-8,"Clear Temp: 69 F, Humidity: 67%, Wind: W 4 mph"
