,attendance,entry_mode,id,number,reference,scheduled,status,utc_offset,weather
0,73569,INGEST,005b8366-5aa6-4596-9fff-5fa35f11ab69,6,56175,2014-09-07T17:02:52+00:00,closed,-6,"Sunny Temp: 69 F, Humidity: 57%, Wind: East 7 mph"
1,76939,INGEST,029df75e-b97b-4508-909b-d9980463f99b,14,56183,2014-09-08T00:30:36+00:00,closed,-7,"Mostly Cloudy Temp: 75 F, Humidity: 41%, Wind: NW 6 mph"
2,64598,INGEST,0865c587-a4ed-4169-a8a1-afa16189eab0,10,56179,2014-09-07T17:02:32+00:00,closed,-5,"Partly Cloudy Temp: 71 F, Humidity: 55%, Wind: From NE 6 mph"
3,61292,INGEST,15255280-8430-4b6b-af41-0f7b7be08cef,16,56185,2014-09-09T02:21:13+00:00,closed,-8,"Temp:  F, Wind:   mph"
4,62442,INGEST,1e9d742e-56ce-44b0-a905-9e1c9059655e,13,56182,2014-09-07T20:25:59+00:00,closed,-5,"Cloudy Temp: 88 F, Humidity: 29%, Wind: SW 6 mph"
5,70706,INGEST,269f5756-9bc0-47b6-a4d1-97534e9ab7c1,2,56171,2014-09-07T17:03:23+00:00,closed,-5,"Temp:  F, Wind:   mph"
6,68424,INGEST,3c42f4ea-e4b3-449d-82d5-36850144add9,1,56170,2014-09-05T00:41:33+00:00,closed,-8,"Sunny Temp: 71 F, Humidity: 52%, Wind: NW 11 mph"
7,70925,INGEST,44560186-8852-46e5-a842-f4785ddf79b9,3,56172,2014-09-07T17:04:04+00:00,closed,-5,"Partly Cloudy Temp: 74 F, Humidity: 45%, Wind: north 8 mph"
8,69596,INGEST,750a0d30-a430-4298-ad4b-95ac5a5db0c4,9,56178,2014-09-07T17:02:36+00:00,closed,-5,"Sunny Temp: 75 F, Humidity: 51%, Wind: N 9 mph"
9,91174,INGEST,7995259c-8f2b-43d0-827f-6f758b6e559c,12,56181,2014-09-07T20:25:31+00:00,closed,-6,"Temp: 85 F, Humidity: 58%, Wind: NNW 6 mph"
10,78160,INGEST,869b067f-c95e-4c5b-89e3-38122b53a56b,8,56177,2014-09-07T17:02:54+00:00,closed,-5,"Temp: 76 F, Humidity: 47%, Wind: NNE 12 mph"
11,64401,INGEST,d4f32ff1-9964-4ea5-8e5c-2e10fae7a87c,15,56184,2014-09-08T23:11:21+00:00,closed,-5,"Controlled Climate Temp: 68 F, Humidity: 70%, Wind:   mph"
12,55919,INGEST,de63e870-1767-4c6f-90e0-0adfb860ce21,11,56180,2014-09-07T17:03:20+00:00,closed,-6,"Temp:  F, Wind:   mph"
13,62425,INGEST,eb3bb333-6ae5-417c-b9e3-1d3dfdb8673e,4,56173,2014-09-07T17:03:22+00:00,closed,-6,"Sunny Temp: 74 F, Humidity: 45%, Wind: NE 3 mph"
14,70630,INGEST,f169d649-5c6c-4291-929e-0d2238949d81,7,56176,2014-09-07T17:03:23+00:00,closed,-5,"Partly Cloudy Temp: 89 F, Humidity: 61%, Wind: 15 SE mph"
15,71770,INGEST,f4c92872-6b8f-4d17-85d0-cc125f6838f2,5,56174,2014-09-07T17:03:25+00:00,closed,-6,"Partly Cloudy Temp: 86 F, Humidity: 66%, Wind: SSW 5 mph"
16,70799,INGEST,04d04749-5202-4713-a947-7b4f3ef0d659,31,56200,2014-09-15T00:31:28+00:00,closed,-8,"Sunny Temp: 78 F, Humidity: 48%, Wind: Westerly 10 mph"
17,78041,INGEST,3b019484-fc59-47c9-8e38-4ba23a5d64c7,29,56198,2014-09-14T20:25:44+00:00,closed,-6,"Sunny Temp: 63 F, Humidity: 52%, Wind: South 15 mph"
18,71181,INGEST,4655fc77-9fe1-4009-be69-c5b6f506ad32,17,56186,2014-09-12T00:29:38+00:00,closed,-5,"Partly Cloudy Temp: 82 F, Humidity: 40%, Wind: WNW 6 mph"
19,69954,INGEST,7962c597-f69a-46b4-a04a-b9f48fbf32fb,18,56187,2014-09-14T17:05:47+00:00,closed,-5,"Mostly cloudy Temp: 58 F, Humidity: 56%, Wind: SE 4 mph"
20,80037,INGEST,7c3b70c3-b245-452f-8f93-c474a32b1156,25,56194,2014-09-14T17:05:34+00:00,closed,-5,"Sunny Temp: 65 F, Humidity: 50%, Wind: North 6 mph"
21,58574,INGEST,83194bdb-f74f-4975-8150-38e6b6663ec4,20,56189,2014-09-14T17:05:39+00:00,closed,-5,"Sunny Temp: 66 F, Humidity: 48%, Wind: E 4 mph"
22,69143,INGEST,86366232-9166-4fa8-8107-30f7578b67c5,24,56193,2014-09-14T17:03:38+00:00,closed,-6,"Sunny Temp: 75 F, Humidity: 45%, Wind: NW 2 mph"
23,64871,INGEST,9e6eaf6e-328a-4254-bd65-985216d17231,32,56201,2014-09-16T00:31:29+00:00,closed,-5,"Rain Temp: 57 F, Humidity: 89%, Wind: W 5 mph"
24,73586,INGEST,a9833aa7-25a6-4fd0-b8e8-abb976033b9b,19,56188,2014-09-14T17:04:54+00:00,closed,-5,"Cloudy Temp: 70 F, Humidity: 63%, Wind: NE 9 mph"
25,67916,INGEST,b12dac11-b2d0-4698-b624-2945cc50d4a5,26,56195,2014-09-14T20:05:42+00:00,closed,-8,"Sunny Temp: 94 F, Humidity: 33%, Wind: W 8 mph"
26,54063,INGEST,b9d59283-d885-4072-99e4-729f66a5f260,30,56199,2014-09-14T20:25:56+00:00,closed,-8,"Sunny Temp: 67 F, Humidity: 69%, Wind: WNW 16  mph"
27,59923,INGEST,e75a6b01-fb00-4f5a-a985-eb34cabba588,27,56196,2014-09-14T20:05:27+00:00,closed,-5,"Cloudy Temp: 88 F, Humidity: 47%, Wind: S 8 mph"
28,52350,INGEST,edb139be-8ec6-4e6e-97dd-d68c3b16055d,22,56191,2014-09-14T17:05:25+00:00,closed,-6,"Partly Cloudy Temp: 58 F, Wind: Southeast  mph"
29,67407,INGEST,ef2ebc14-ed28-4495-94ee-9db0fa0a8b99,21,56190,2014-09-14T17:03:42+00:00,closed,-5,"Partly Cloudy Temp: 61 F, Humidity: 62%, Wind: SE 6 mph"
